type,path
.png,assets/got/textures/logo.png
.png,assets/got/textures/armor/reachguard_helmet.png
.png,assets/got/textures/armor/summer_2.png
.png,assets/got/textures/armor/copper_2.png
.png,assets/got/textures/armor/hillmen_1.png
.png,assets/got/textures/armor/myr_2.png
.png,assets/got/textures/armor/kingsguard_2.png
.png,assets/got/textures/armor/pentos_2.png
.png,assets/got/textures/armor/arryn_2.png
.png,assets/got/textures/armor/special_helmet_sandor_clegane.png
.png,assets/got/textures/armor/tyrosh_1.png
.png,assets/got/textures/armor/lion_1.png
.png,assets/got/textures/armor/north_2.png
.png,assets/got/textures/armor/ibben_1.png
.png,assets/got/textures/armor/westerlandsguard_1.png
.png,assets/got/textures/armor/north_1.png
.png,assets/got/textures/armor/bronze_chainmail_1.png
.png,assets/got/textures/armor/bronze_2.png
.png,assets/got/textures/armor/yi_ti_helmet_captain.png
.png,assets/got/textures/armor/ibben_2.png
.png,assets/got/textures/armor/ironborn_1.png
.png,assets/got/textures/armor/alloy_steel_2.png
.png,assets/got/textures/armor/lys_1.png
.png,assets/got/textures/armor/crownlands_1.png
.png,assets/got/textures/armor/ice_2.png
.png,assets/got/textures/armor/ghiscar_harpy.png
.png,assets/got/textures/armor/lys_2.png
.png,assets/got/textures/armor/norvos_2.png
.png,assets/got/textures/armor/dorne_2.png
.png,assets/got/textures/armor/special_helmet_robert_baratheon.png
.png,assets/got/textures/armor/arryn_1.png
.png,assets/got/textures/armor/gold_chainmail_1.png
.png,assets/got/textures/armor/crownlands_2.png
.png,assets/got/textures/armor/dragonstone_2.png
.png,assets/got/textures/armor/reachguard_1.png
.png,assets/got/textures/armor/dorne_1.png
.png,assets/got/textures/armor/copper_chainmail_2.png
.png,assets/got/textures/armor/gold_chainmail_2.png
.png,assets/got/textures/armor/gift_2.png
.png,assets/got/textures/armor/yi_ti_2.png
.png,assets/got/textures/armor/alloy_steel_1.png
.png,assets/got/textures/armor/reach_1.png
.png,assets/got/textures/armor/qarth_1.png
.png,assets/got/textures/armor/riverlands_1.png
.png,assets/got/textures/armor/valyrian_chainmail_1.png
.png,assets/got/textures/armor/copper_chainmail_1.png
.png,assets/got/textures/armor/arrynguard_2.png
.png,assets/got/textures/armor/lion_2.png
.png,assets/got/textures/armor/unsullied_2.png
.png,assets/got/textures/armor/yi_ti_samurai_2.png
